age,annual_income,education_years,work_experience_years,credit_score,loan_amount,loan_duration_months,interest_rate,debt_to_income_ratio,monthly_expenses,savings_balance,investment_balance,number_of_dependents,employment_stability_years,housing_status_score,marital_status_score,health_risk_index,insurance_coverage_score,spending_score,online_activity_score,device_usage_hours,location_risk_index,previous_default_count,financial_literacy_score,loan_default
19,51140.401280784776,10,21,724.7481041697863,3899.654973426368,60,9.57717591632542,0.7336550053430432,2704.161100239992,11805.190405191788,16519.33519733899,2,9,5,3,0.6925601762386705,3,68,12,7.289109410837652,0.5400797468714449,1,68,0
24,69028.63147290911,8,19,655.6663388664224,21084.03281277206,48,8.383829865485687,0.7985513965050776,2611.1063928174963,16913.19025829699,7685.012617749124,2,25,1,1,0.4691942045833897,3,62,5,5.108674424564947,0.00739042933736056,0,92,0
44,55186.372953875354,10,1,821.8745075155632,28297.79601114645,24,7.321765433936184,0.45405604768394225,2442.756164296688,15841.848670478197,32653.859574184728,2,22,3,1,0.0011024073070375895,2,20,16,2.9060734430643564,0.7041911497935949,1,52,0
31,61403.6515024514,12,16,715.4452940840581,38358.63527054405,12,5.9974728683886935,0.5791869035776447,2369.382349172255,10444.248233189706,29316.39389590441,5,15,5,2,0.7535899481100788,2,65,80,2.938126806081887,0.7012585157470013,0,88,0
31,42536.559849859674,9,19,850.0,46599.67527215879,36,9.115590755802105,0.13572186184020849,2052.929537437221,9150.893057070596,34101.51475162183,4,19,1,1,0.3648493904674809,5,98,96,5.440192832216553,0.5244572653647447,0,58,0
47,48574.34138910163,16,31,665.4269895624165,1000.0,12,3.731231471553599,0.7476179664501781,2956.5613623855534,3961.489021913949,18800.36324907373,3,24,5,2,0.6764706952910565,3,81,40,4.642626635101315,0.7266374805376026,1,44,0
46,56280.90977467313,8,32,643.355540037504,27340.800714292214,48,12.492620698308356,0.2618737154966394,2010.6353160531535,26158.280953717265,7508.864586406558,2,16,1,3,0.8662231934548846,5,13,22,0.9301882912226846,0.39007270664765403,0,40,0
23,80746.2662344677,14,0,702.1594007402468,34547.17708562719,60,5.052900549277085,0.1415502024893605,1938.611671744672,16237.201138541563,18505.64950949142,4,6,2,3,0.7150679601402498,1,41,31,5.0428029149628175,0.5858819546718128,0,24,0
30,52653.388276678714,19,26,700.0567776624694,34487.723927598854,12,15.58600994270936,0.05655431056779767,1609.16203800045,11303.954285635395,6027.136827950229,4,20,5,3,0.9669613054859933,2,40,53,3.4583821304398463,0.4616765657778491,0,12,0
46,35315.42415577533,11,15,571.4027326941838,27099.229975088576,36,7.232930758188635,0.7648541212935388,1693.4939036455619,16746.592333878994,25715.260226123773,2,9,5,1,0.7509782153489152,5,26,74,11.733926283761534,0.5385147970025052,0,73,0
20,72012.0649183922,18,26,702.8711849996531,20288.59564549443,36,17.436451494593904,0.4582335645323129,2038.7891733152967,23024.538215994307,6534.122594982293,2,6,5,3,0.13149509799374082,1,66,30,6.526059637476944,0.9428443600496771,0,76,0
31,79471.92421608003,18,0,627.2250954914521,20393.896850363537,24,13.752959628355635,0.31714803678786924,2499.174635370342,29090.436436412994,34662.75454817417,3,4,1,1,0.23528204062133729,3,25,30,8.81798520455026,0.5214852858487214,1,95,0
45,54776.37966843457,9,11,815.1246878281338,27921.02672147182,12,10.726236301662837,0.11922175468079456,2677.696256658057,24971.13844491957,33745.50103235424,1,7,4,1,0.6290248884442807,3,88,61,9.849380401443664,0.43904927917916114,0,20,0
50,61363.12716820755,9,2,718.7303391750789,17167.723580777878,60,3.4230764245173315,0.4401832796703628,1393.2662326517593,28938.08358108525,29422.117129552997,3,10,3,2,0.048691520287301726,1,13,46,1.9098422214577917,0.7076386405534837,0,30,0
25,66647.4027644367,14,14,680.520530895336,24292.818476984092,48,6.290163092997568,0.43421708670139797,2447.8184887230404,0.0,14370.920834474324,5,24,1,1,0.9501035239500347,1,2,20,9.880898362366848,0.37848056454180745,0,61,0
50,36032.99132906845,18,7,608.27721549077,45283.40694976445,24,12.739179476240139,0.5193341965438657,3879.2870605038897,12184.800071496027,44322.84787276808,3,22,4,1,0.7276139459910688,2,6,69,0.5032204368213599,0.2726713813780255,1,34,0
25,53708.766769426446,19,32,680.3394625040397,41345.66539496345,48,10.383175999931431,0.6653020617341997,1901.237783448043,6717.419843066258,11609.874896760452,5,1,1,1,0.4914557682699191,3,49,73,1.4345790138510068,0.46905996851685106,0,54,0
38,58196.132767532676,16,28,731.4484895092056,47465.14308575666,48,9.069458223212994,0.3750295800984871,3705.7689488284677,19077.308277950724,0.0,0,9,5,1,0.3012333705365038,1,60,95,8.072280858053539,0.3344283150768729,0,61,0
51,81626.33852411326,11,6,759.8229316426971,17769.065278358034,12,7.916533579455068,0.6669882026559866,3344.6943565181323,20143.993386329574,27338.785643878844,5,27,5,2,0.09415356904207817,3,26,72,6.157781665244166,0.03414858828902567,0,83,0
56,68425.62731740797,18,3,570.1829688082004,1000.0,48,5.4643022976871425,0.6759944591082809,1307.8412893898708,17576.040888594347,17120.367186764546,0,13,5,3,0.3700585927352755,2,51,74,6.413619316866177,0.11615298953034514,0,60,0
43,83907.34170786609,19,13,657.9163898783786,1000.0,24,7.747598719726126,0.5058269088832622,2067.850645224069,22618.70403035188,22915.13371296207,5,28,1,2,0.06506698226563523,2,60,53,6.891475541827213,0.8743901038845057,0,88,0
22,62964.94562813677,18,4,702.0360353795462,53188.14282666311,12,7.423168344656957,0.6375592209209114,2367.069549105127,6785.601997445818,24873.96203177829,3,6,3,2,0.06883039887256237,2,40,47,4.791221948102894,0.6445375942115925,1,91,0
35,81929.48021403144,19,4,657.8036215254616,31292.239731905825,12,12.351535748369855,0.8699991080141615,5295.999795752384,30776.613523213608,33526.343803362484,4,14,2,2,0.5916713326964603,4,30,75,0.8021653905817643,0.6321289950268181,0,42,0
27,65535.68273277063,18,19,640.669406322102,35358.47453992395,12,7.803868752444034,0.37894150709332036,1995.3941590571972,24144.398032705256,0.0,2,28,2,1,0.8928791601951783,3,3,50,11.617754725642012,0.1799185693669243,0,15,0
33,48595.99470657583,14,3,632.1961324464125,47007.120776447744,60,11.061876556744052,0.15618225357809534,1843.7437791248722,1306.212301269763,2400.4678706612576,3,16,1,1,0.04047896504280191,2,59,30,2.7099804661455797,0.5745001397053884,0,28,0
47,64564.52372786023,13,23,687.8694813281852,5700.3706419775845,60,15.787221609181113,0.19017265466645705,1611.3837073291838,29582.918371144508,20477.730814888437,5,29,5,2,0.09690076336551667,4,100,9,1.446788367056567,0.7935919733161931,0,28,0
38,63355.78067917888,9,22,613.4875438461877,43154.37602879651,36,17.129298369759567,0.39719595235715927,2138.5537064817654,14695.888449590955,24766.73477510103,3,7,3,2,0.6701145968700106,1,2,12,8.39360169175753,0.43923883611354186,0,73,0
59,67049.67414122398,17,6,668.5174754520311,46377.37877174665,12,17.674354969162017,0.05904053423322497,2581.171081522982,21415.95998721495,35787.558780634376,4,8,2,3,0.6818255511964982,3,65,3,9.42410858946982,0.6955320920547249,2,31,0
49,101397.47325188073,15,10,720.3668314605701,11299.81867536005,60,5.203324482655718,0.5249959794874786,2141.5534518539425,24774.895052457294,21151.553647196102,0,5,1,1,0.3337184289809275,4,69,45,10.511069141822507,0.45273155364627926,0,52,0
47,84398.08610778503,19,17,692.6652081224063,34282.026234520745,24,14.656742966889931,0.668976916787319,2455.594023886998,21981.731603021915,13612.208188520546,0,22,1,1,0.7007153619643551,1,91,84,7.528096902671742,0.7964110268239702,1,50,0
24,86004.26312479223,13,0,620.7889391708924,12593.280876363337,12,15.512692759217453,0.8006053453041705,1946.3866257144634,17801.36757126349,28799.223191676083,3,5,4,1,0.1163312619860194,5,16,94,8.295517108653765,0.27724507161660117,1,20,0
58,55634.15474241977,10,12,702.525921798922,20680.045061722143,12,17.434412083295104,0.5920641798465741,1269.244174502558,6667.292700605518,14057.686091303382,2,2,1,3,0.24708913737280136,5,78,98,1.3007413304948148,0.04426106036733657,0,18,0
18,21905.537804630556,11,8,637.06043058041,18298.200600473512,48,15.741569099667329,0.360876160384489,3111.125378642986,10015.745280088777,8612.465559494587,4,11,5,1,0.7762120665683535,2,18,52,3.844080166818209,0.7920099924006896,1,95,0
33,80822.78432911768,15,30,639.2224570975538,31634.781020508126,60,14.629847493828288,0.3870573568938268,1432.023484871837,11904.434030861832,23290.25330115988,4,2,3,1,0.21970570076677076,4,60,94,5.259004655140908,0.2887035259298161,0,27,0
21,70650.56354650728,15,37,672.3993857596489,27026.006572218852,12,12.543936834074357,0.6228240809043746,333.44485587641884,14153.392780237917,11350.148571899488,1,13,2,2,0.5874306847483834,3,79,67,7.665288843823552,0.3743613758556673,1,12,0
54,24423.430364753272,15,34,760.3356568506492,32741.977050842703,12,14.719242401630897,0.6859026478914214,3197.917482418868,13556.561149509325,2347.7716403046834,2,14,3,2,0.04460667248832151,4,90,20,3.960461873583957,0.4752763645020648,0,34,0
51,75281.09398922697,14,4,659.5555583235431,15789.214362388735,12,9.718022122879344,0.38766975926804126,2505.737084649301,13177.252591668399,12115.135836483583,5,16,3,1,0.8275556515378722,2,52,19,3.5181510061476513,0.20305106924951088,1,53,0
55,59430.838945265394,16,14,662.3649993448406,29450.94142047569,12,15.259177054201114,0.5491907139083695,1354.0897415296433,25921.40852115737,45276.80007096731,0,27,4,1,0.8851655078080947,4,54,60,5.273944040755676,0.10283694901863061,0,97,0
27,51578.7766614965,18,37,727.9046601087904,38341.56197795589,12,15.851781656012465,0.7221559974466683,1267.683304293366,19559.787781742943,39987.484976062246,0,1,5,3,0.5894281873176481,4,79,62,2.4719152380615768,0.9138801406841973,0,62,0
42,75850.81469070134,13,6,778.591318285255,39783.57595339182,12,4.2742160614083025,0.18883187658988915,2422.5217308210777,18491.686972465173,13867.182683581039,5,26,2,1,0.7247650221817502,5,25,92,2.257522778552242,0.9767010172970443,0,24,0
37,35327.19218086533,12,5,582.4447231234703,23637.906834914276,12,16.337042822020372,0.19270419188225563,2436.7479379870956,2860.6332214405375,3474.690245284488,0,2,5,3,0.6884555686890802,4,87,6,10.947375396117364,0.40069354247080935,0,56,0
52,74754.32415905662,13,21,736.4245383243214,34577.194251743626,48,9.816534089061378,0.47310150433263026,1732.5856914209269,0.0,22361.83115779392,3,14,5,1,0.16487297435294246,2,91,18,4.641192524010921,0.47596448769121147,0,57,0
53,74941.79774267317,12,13,716.518960122289,24165.211675825994,24,6.698331430208585,0.8839149298946257,2966.921011764432,4795.232236290605,4975.740769287962,0,10,3,2,0.08629155579937164,2,75,1,4.437600903422112,0.19679427909170377,0,55,0
42,62098.87316549858,18,2,664.108256730152,47551.7607551816,12,14.170072699673451,0.37211813013851236,1305.2956663912344,24623.253031151893,13124.684731867263,0,25,4,3,0.23537394262205313,4,45,56,7.522477273472593,0.35951610779304144,0,62,0
49,59341.62801551624,16,23,639.541998069283,31542.381164842664,60,7.77137895961439,0.18650839976209194,3359.2668403191374,22213.762299388974,25124.970409392583,4,17,2,3,0.06078534342830233,1,35,42,7.754973490385556,0.37724664391513263,1,76,0
21,57518.47735993836,15,29,748.1414011719141,46482.66403063508,48,8.27362151044,0.6125979036972564,2157.44178802417,0.0,42992.41616646929,5,24,4,1,0.9850833425050318,4,1,84,2.326923890673112,0.747814833300877,1,82,0
27,52743.28356861985,17,28,771.4987861919954,7907.025143694598,36,3.3823010443930186,0.3135208770000584,2339.6462138077554,25384.7997022591,23407.384593720486,1,0,1,2,0.6384427423198459,5,9,37,1.405173189119519,0.8151300721733642,0,79,0
56,67658.2984737622,14,27,646.1294014639565,16687.30624833175,12,3.343639701289332,0.2759677804102145,1160.5712417069162,7842.292691938019,5084.393565541939,1,29,3,2,0.9129724249001852,5,11,99,10.73710713654804,0.650563848257011,0,32,0
50,71138.26676219807,12,19,533.865618802727,13647.896128660721,60,9.123320805494712,0.18258392693318204,1973.026653502127,19186.450656202665,18636.49866060768,1,20,1,2,0.6041030916422099,1,86,24,8.503649766367168,0.4883553840356033,1,49,0
63,58246.946476537574,14,21,582.3716659781882,25016.59579494606,24,15.000756608899492,0.6414161364639205,2934.389942015537,0.0,0.0,5,27,5,3,0.07151039067977472,4,99,80,3.6948871225426005,0.5280451286487102,0,52,0
55,84111.69856409248,17,37,690.6412812701873,35210.574373116484,12,9.475512278153577,0.7467250970250463,1955.361274435204,19483.893018301118,28122.609704205584,4,9,3,2,0.07457594324945949,4,88,58,5.172673965640619,0.9566938483145422,0,73,0
40,55756.37385272533,16,26,717.1616396433612,5511.2659038258425,36,16.970508250462586,0.4321144713674869,3515.607833819895,6620.866710016997,20019.492912283178,1,10,3,3,0.754193467994835,3,45,87,4.7945403547994925,0.2203677897095695,0,42,0
42,60892.289390343394,11,14,702.0607148184932,22629.050818313266,12,13.940489703725666,0.24670085570128508,1369.0965456844176,11096.247823192563,31625.250024823537,1,23,2,2,0.7349342123955509,2,78,72,7.717387318366713,0.07529734538205901,0,17,0
33,51108.75844672971,16,8,658.8151273125576,23497.226649751097,24,14.529473697428001,0.07686847509306566,4305.294367988881,22426.046757611177,30473.871206874042,1,24,5,2,0.8350105806967828,3,69,100,5.248058424478021,0.7853531651561169,0,60,0
29,75139.32897283757,12,2,640.8622348617373,39859.15024899351,12,3.030718697940464,0.28864692957960447,2488.0838703689014,24003.29865258184,0.0,0,22,3,3,0.912220320044963,2,25,69,7.526787227100602,0.8626930278293983,0,67,0
29,48418.53781417057,18,17,661.557596075047,26333.85746294816,24,15.292421724354984,0.22327605840972709,3659.9153097229428,25463.568522054797,27189.652009687805,3,9,5,1,0.760424322276817,1,1,94,7.343396993991127,0.30517226511313955,1,63,0
47,52830.53658005472,17,38,642.9934144212282,20771.136211730714,60,17.56500302969322,0.6094767271080186,2319.9041360882643,0.0,344.9957243682693,2,18,5,2,0.3660551462778201,3,94,65,4.231912004094777,0.45037399120263544,2,67,0
30,61508.32995313531,18,7,688.2187544807351,9949.323891315751,12,14.690327148036397,0.22128330330604512,3308.8770494364885,27062.116263119184,19101.423031285103,1,25,4,3,0.9185822379252851,2,2,34,0.6311459234474278,0.7184124978687906,0,23,0
32,58977.37273403774,13,5,679.0887373623921,16962.34291989511,12,9.032423677430026,0.5942084706634907,2655.683380682858,19359.602566317764,13620.977893187857,2,11,1,1,0.4087470418231268,1,23,67,2.103607436034335,0.2605834194193696,0,14,0
25,86097.51143372204,14,10,637.1509054925663,28653.66007165243,60,5.421332029183988,0.8569713429582229,1923.7497453225842,23624.01175491777,35731.27632039397,4,5,3,1,0.804175964705486,5,21,81,5.3603284531309345,0.7929817261170394,0,18,0
50,51376.49663326451,17,34,617.9260883494396,19416.354171088824,60,3.586652148700762,0.07120027912287258,3309.7493023978423,14173.64295388185,19724.661703723472,1,23,5,3,0.25551647764275154,4,77,39,9.078413900010272,0.047806999912129666,3,83,0
25,69999.2851488545,16,15,767.942499546952,25269.668954702345,60,16.316636342005104,0.6362537586357413,2745.3366812317704,16406.22803342592,18510.297567588426,4,11,3,2,0.5066690353246802,3,68,97,7.6853916495510886,0.6806648780778726,1,53,0
20,61249.10706980528,8,21,642.1182535341691,19311.89131316439,48,9.856048596816198,0.19470344809505025,1987.302456657114,25775.02989911371,30418.066505863168,5,29,2,2,0.5910968140288327,5,35,39,8.033866468707451,0.9610995976138573,1,17,0
38,76050.235486588,8,24,671.054107165747,27876.197326467962,60,3.3083755996803736,0.5681504571919422,2223.2680938692997,13155.966161032171,23823.770267327476,2,11,2,1,0.5042498210241386,3,65,18,7.031648569601984,0.19096384164450741,0,10,0
54,46018.69118339309,17,33,769.1982554198202,35490.138658655356,24,11.906179299658506,0.7436674999147793,2342.566932833067,9274.589764330864,35898.26752711494,5,16,1,2,0.97590187179459,4,90,54,1.3928582024472096,0.733708077133832,1,77,0
50,36543.2155211014,11,17,612.6102007528268,31892.371574198252,12,14.35148454845635,0.28133484528788527,2015.5593874170604,7062.759353841651,15814.334717258967,4,26,2,1,0.5485984590134407,5,6,91,3.69963716982684,0.9201232404593637,0,100,0
38,18008.000395298033,18,4,720.6207849020316,23741.351823020865,12,6.823131995809951,0.8718027872305655,2798.890514781672,11206.18777316149,4717.019955293459,0,23,4,1,0.6274776432617857,4,35,38,5.046695943075532,0.5542795949743878,1,20,0
51,36614.008169084016,10,33,727.3476789781411,29971.74749536881,60,5.461010291403655,0.7317902308907366,1677.98430829256,4847.108175859345,18492.0972740088,5,0,4,3,0.40088843515207073,2,96,63,6.700912880613941,0.8742272599544084,0,100,0
20,75687.853332799,10,22,666.9638329281382,13389.290544203976,36,13.34773568239936,0.4237183000044872,1058.4011400890734,29132.940836539106,46945.92462666674,2,14,5,1,0.8455107743068313,5,34,23,2.846936004046937,0.6344190044557103,1,11,0
33,82971.1957821963,18,21,677.6669844332135,7275.817795129391,48,8.280654194323716,0.7224257779129045,1257.7297817682017,8173.363116745207,12370.34391115906,5,1,5,1,0.4362409254310252,5,90,70,3.8607338721678874,0.8965696631775658,1,53,0
18,72356.25316963084,15,9,731.4705603727787,25996.01326661744,48,12.08646703890874,0.23727390878590138,4086.206070140936,31456.61604561372,47511.61884784311,5,19,2,1,0.388143440837624,4,40,75,9.027740028773596,0.9459723375165887,0,63,0
32,57443.29497989374,17,12,659.5960716042985,46861.6575921083,60,8.259028246331578,0.39022494923365125,3120.9143519247273,18923.710189795074,18101.56820720903,1,24,3,3,0.5701488594750279,5,85,1,2.5633564571825804,0.19906430525470442,0,52,0
61,53014.740066151004,8,13,698.0410145660594,43735.13482923771,48,15.904827806501956,0.8759043445248399,2717.4706314442888,15638.277110821053,42894.93762435249,1,25,4,1,0.19361738172995613,3,18,91,10.481991692688098,0.8230529005015988,0,53,0
51,70736.55407044102,19,7,667.8529171250349,43309.5154302602,36,9.867960251851947,0.17876097585662087,1452.4931224230247,19161.608697232416,11712.22918396062,1,14,2,3,0.7630274960951905,5,75,4,7.801319846008866,0.16663900944519194,1,94,0
32,50905.365244218236,14,9,690.9778921028611,44062.907141862415,12,11.612872093856577,0.5044589584560314,2882.942245180233,3665.5322480121667,2354.950033746656,5,28,4,2,0.39303648850955875,2,15,1,5.886522885769337,0.1588860108557273,1,19,0
48,65476.87684464035,18,0,546.2029429191314,30804.57230298769,36,15.53345634807008,0.1186252896015484,3093.139541259707,20090.933011590372,4647.879804078673,0,25,4,1,0.8553928283356705,1,75,97,4.0144884468128375,0.4450957751813004,2,65,0
50,63244.59811661825,9,0,556.9519990814583,10224.798229455777,24,10.237923601104399,0.3672842671950111,3351.866571112774,14564.404550995981,27020.583091119297,0,8,3,1,0.2745026486234894,3,31,81,3.187278579771184,0.6102809027149207,0,96,0
21,39813.71907000595,9,18,756.8690222364169,27975.680077505247,24,6.722926467343979,0.31362649863742803,1660.5519279682817,9588.01354719738,36312.09892440762,4,8,4,3,0.9484073880034367,3,68,50,8.91177844165146,0.8063004155582708,0,62,0
37,83723.50201775183,9,4,732.502651324529,17280.754863264203,60,14.555404128198981,0.7140985642813971,1941.1657731878727,28440.215438653806,37120.69136684253,1,24,5,3,0.34127086858138245,1,48,38,8.302940267343953,0.8764462228805464,1,91,0
20,57277.231931728995,12,37,686.1829236824846,1000.0,12,9.29053544181559,0.1400964549358302,2929.8029856708563,21379.748531178135,44756.5590125342,5,2,5,1,0.10169453488319569,2,86,91,7.447458855569417,0.11245797479378783,0,1,0
43,49288.63511607714,18,33,651.7041180336563,23725.895646820984,36,7.770140208465097,0.34923328661915143,2448.5914164254723,25531.887994272078,41295.39075482922,2,0,3,1,0.775557897551047,5,49,45,4.113593922441559,0.8723065578636202,0,43,0
23,60067.09148786413,14,18,625.4008141705247,23895.645175766476,48,3.2608941307774626,0.7931919184049467,3748.8273715178616,8504.149464536275,13115.84810406572,5,14,2,1,0.18838645060852488,2,73,20,8.919924403687983,0.32579594485919483,2,75,0
55,56168.25247323912,18,21,635.6078805487159,14133.06902361152,60,3.3840816024643616,0.5728327649103546,1974.7538402053142,27669.23725501791,18305.55488631385,4,16,2,2,0.4525926095437368,5,27,5,4.308822533496019,0.8397544445846438,0,55,0
32,49538.75066076874,17,36,688.8740526179571,59622.96301477324,12,6.058112605201346,0.2271948874576702,1094.7854936604037,29844.83699700602,26185.27379391411,0,23,5,1,0.0695084795850398,3,88,3,7.055923900674729,0.9858180393506017,1,11,0
57,44017.739426920416,14,31,712.8681131370395,12868.013468927695,36,9.760574770814596,0.6321246097882306,2100.805896444465,18457.53071807147,13853.478686704857,5,25,4,1,0.11105299451013217,5,77,48,4.675342295810452,0.20503564944714536,0,10,0
62,65322.93757169535,14,32,725.0017171291067,18025.82988310368,48,3.391383476740809,0.6263791275650392,1965.5090114931297,0.0,18480.768895507317,2,27,3,3,0.3308104194402812,2,92,82,2.212600543508823,0.6626971376524211,0,48,0
41,68064.2753809008,18,21,747.7779129529379,28661.534911652045,48,9.473266797492087,0.8846025362126214,2152.7237437917834,0.0,42333.865828112976,1,23,2,3,0.3989832713161622,2,87,29,8.528412639690321,0.19739115965539322,0,74,0
21,47748.588204278356,8,6,762.2479941982855,57606.954781791836,24,3.808249932017864,0.058013158626127326,1760.9710562829769,9870.663327878834,22370.44759376391,5,21,3,2,0.678247592132279,3,45,48,9.401849110762294,0.5191839158259867,0,69,0
39,73966.92096528871,10,13,763.7031703887683,35028.87064798767,12,10.31570948156167,0.1181391183206421,2129.2427964138433,8690.985752469725,20047.44616041137,5,25,4,3,0.7492104220249728,5,81,15,11.664675259524127,0.8925727576404907,0,6,0
51,54565.11623360306,17,29,713.584794145677,47513.14768441905,60,4.967413590340539,0.18030007630494388,3006.8871047478438,12650.42841365831,30394.77381653808,0,2,4,2,0.2811318014338069,2,46,47,10.722198532899014,0.21364378189953337,0,14,0
55,55522.78370380386,10,30,635.0707229623175,14101.842273069271,60,14.921783998787255,0.2758550934896043,3140.640226584973,8265.36174524204,28004.30147831242,0,7,2,2,0.017188208310270237,3,77,26,4.476458242807706,0.8873195773989511,0,39,0
47,67207.67387942903,13,8,648.8968932984358,21772.86472494034,48,10.700586213787359,0.20639300481037043,3092.832784915172,18688.834392919194,20143.11860269783,3,20,2,2,0.8691003075557356,3,36,1,3.147566703735653,0.6171837036180742,0,84,0
35,41551.22032820522,15,18,690.3273640415564,24437.7308522862,24,4.506768382060153,0.4608493449276994,2792.1375960864157,18829.7932202928,16254.40018146173,1,5,2,2,0.9857847637531002,5,54,28,7.428411471356342,0.7917575249918336,2,43,0
52,65350.17134098467,12,0,609.8152080056891,25165.70384626953,48,7.889131673666752,0.0708892286094595,300.0,16420.42200692132,17688.656093661702,1,2,3,1,0.42788214650073664,2,48,69,4.305044390755929,0.15900727389420677,0,4,0
31,65825.17504431137,11,20,772.8081162693693,18420.05922506449,12,5.482238339106919,0.6219796643165892,4052.5747083223987,1809.8195733196244,38567.370789142115,1,22,2,2,0.41365598621348443,4,2,60,10.66027002328478,0.49552527989713024,1,81,0
